Age,GenderID,AnnualIncome,OccupationID,ProductTypeID,LocationID,FamilyAssets,Purchased
51,0,113694,1,0,4,1761225,1
74,0,122727,3,3,2,1247589,1
29,1,209041,1,8,1,1586769,1
48,0,166730,9,6,0,1821130,1
54,1,41551,0,1,3,519522,1
17,1,18792,3,8,0,336139,0
59,0,58555,8,3,6,768828,0
5,1,88953,3,7,4,1093327,0
47,0,235735,0,2,6,3224002,1
52,1,22185,5,4,2,356639,0
44,0,58984,3,5,1,1134231,1
10,0,49504,1,6,1,799536,0
40,1,32662,5,5,4,534952,0
61,1,133684,0,7,1,2173209,1
46,1,168338,6,1,4,2837497,1
8,0,228126,9,5,3,1451050,0
51,0,120687,1,0,3,1877413,1
28,1,196892,4,1,3,1171386,1
44,1,190152,1,6,4,1177537,1
61,0,28047,7,5,2,464464,0
26,1,147848,5,5,3,2420608,1
50,1,137659,4,1,2,1168229,1
51,0,61005,8,3,2,1098339,1
80,0,36736,7,6,4,699745,0
0,0,187789,8,3,5,1364080,0
67,0,108506,0,3,0,1180567,1
69,1,44698,5,6,4,748742,0
79,0,101906,1,3,5,1335229,0
51,0,94896,3,7,6,1102846,1
56,0,122561,7,2,4,2294938,1
59,0,143121,2,3,4,2857518,1
8,0,127858,9,6,6,1987920,0
32,1,170371,5,3,2,1081533,1
65,1,202207,8,7,1,3960825,1
7,0,240594,0,1,2,3532853,1
21,1,126381,2,6,1,2520389,1
20,1,107888,6,6,7,1402734,1
18,1,112946,8,4,0,1777643,1
36,1,13420,1,8,4,130670,0
32,1,226386,5,1,4,1742997,1
45,1,82991,6,2,7,1185153,1
16,1,247472,0,4,2,1766998,1
25,0,192065,8,1,4,3459535,1
44,1,12368,8,9,3,47203,0
14,1,42097,2,5,2,245562,0
62,1,191372,8,8,0,3344447,1
14,1,156410,9,5,7,1158172,0
4,0,97235,0,1,5,1695560,0
39,1,246175,4,3,0,4733073,1
62,0,38251,3,9,1,581526,0
8,1,84740,1,7,1,491896,0
47,0,186615,8,2,2,3562822,1
68,1,200710,7,8,2,1088027,1
28,1,19435,4,8,6,98716,0
47,0,104758,3,8,3,1173617,1
68,1,78385,4,6,5,858028,0
15,1,198751,7,8,7,2912467,0
23,1,213441,1,3,3,2914254,1
11,0,238928,1,5,0,4615148,0
25,1,85353,9,8,3,861443,0
74,0,17543,9,3,0,249660,0
72,1,57295,1,0,3,750676,0
23,0,148429,1,0,5,2031328,1
29,0,120448,1,8,3,1488930,1
48,1,157851,4,7,3,3038291,1
51,0,201993,8,2,7,2834763,1
52,0,207775,3,7,6,3499206,1
4,0,48102,3,1,1,678853,0
6,1,187804,6,5,6,1610341,0
28,0,64693,6,7,0,1208490,1
70,0,142396,1,0,6,2285228,1
53,0,128874,5,1,3,1088964,1
57,1,196843,3,3,7,3277203,1
61,0,240590,2,6,2,2929822,1
57,1,139695,4,7,3,1850171,1
35,0,171426,1,7,1,3463372,1
30,0,248964,0,8,0,3919296,1
73,1,21023,1,3,2,495345,0
35,1,112023,6,7,7,1115912,1
63,0,188677,3,6,0,1002578,1
28,0,175421,2,6,0,1071472,1
24,1,206617,6,4,7,3920167,1
48,0,72292,4,6,7,1231964,1
32,1,85880,2,3,4,958339,1
80,0,108142,3,0,0,1765484,1
73,1,194402,5,0,0,1639903,1
76,1,31949,9,7,2,406710,0
49,1,184016,0,8,1,2494804,1
46,0,54238,2,1,1,967053,1
63,1,246257,3,6,1,2439760,1
62,1,224323,9,3,0,3006990,1
50,0,113196,9,1,6,814966,1
68,1,83477,9,9,5,1090353,1
22,0,221791,4,3,5,1632644,1
55,0,224879,3,4,6,2673868,1
18,0,228116,2,4,7,2309570,1
4,0,157979,5,1,0,1281714,0
72,1,151560,7,9,1,1857761,1
47,0,145504,1,8,3,1362530,1
78,0,223630,8,4,2,4256238,1
1,0,115113,5,1,3,681475,0
17,1,98869,5,4,2,1243709,0
73,0,60448,7,8,4,455302,1
24,1,17561,9,8,0,251985,0
33,0,83479,8,4,1,1051467,1
51,1,58447,2,4,1,722710,1
69,1,212230,1,8,2,2653942,1
50,1,244936,4,4,3,3777012,1
4,1,171177,5,3,4,1700969,0
46,0,114537,8,7,4,1892419,0
76,0,57362,0,1,6,288379,0
43,1,126748,4,0,0,2054755,1
48,0,237645,5,2,4,3881579,0
33,1,83698,2,7,6,526376,1
71,0,182904,8,0,1,2999373,1
77,1,135501,1,2,0,1393323,1
38,1,234781,5,9,2,4377673,1
24,0,175088,6,2,0,1866241,1
38,0,51157,4,5,0,903040,1
14,0,81324,5,3,3,1034946,1
56,0,54028,1,5,6,547009,1
37,0,164782,9,2,3,1873114,1
7,0,136108,2,2,6,1196776,0
35,1,240169,0,2,5,2055040,1
37,1,154071,6,3,4,1789999,1
61,1,27368,2,1,6,274107,0
67,0,70279,0,7,3,435913,0
8,1,227138,3,7,5,3595326,1
35,1,127718,4,3,3,2405497,1
20,0,66264,0,3,6,1101885,1
34,0,73731,5,4,1,951501,1
33,0,46368,4,5,6,663742,0
32,0,178220,8,5,0,2392327,1
48,1,62853,1,4,2,1058683,1
12,1,102374,9,4,0,1138893,0
48,0,183532,1,9,6,2181608,1
46,1,169937,5,5,6,2183854,1
3,0,62487,9,8,1,1112697,0
33,1,136944,6,9,3,761133,1
64,0,217606,4,0,6,1918023,1
66,0,165232,0,8,3,2249081,1
